admin,adm0_a3,Longitude,Latitude
Aruba,ABW,-69.98267711,12.52088038
Afghanistan,AFG,66.00473366,33.83523073
Angola,AGO,17.53736768,-12.29336054
Anguilla,AIA,-63.06498927,18.2239595
Albania,ALB,20.04983396,41.14244989
Aland,ALD,19.95328768,60.21488688
Andorra,AND,1.56054378,42.54229102
United Arab Emirates,ARE,54.3001671,23.90528188
Argentina,ARG,-65.17980692,-35.3813488
Armenia,ARM,44.92993276,40.28952569
American Samoa,ASM,-170.7180258,-14.30445997
Antarctica,ATA,19.92108951,-80.50857913
Ashmore and Cartier Islands,ATC,123.5838379,-12.42993164
French Southern and Antarctic Lands,ATF,69.22666758,-49.24895485
Antigua and Barbuda,ATG,-61.79469343,17.2774996
Australia,AUS,134.4910001,-25.73288704
Austria,AUT,14.1264761,47.58549439
Azerbaijan,AZE,47.54599879,40.28827235
Burundi,BDI,29.87512156,-3.35939666
Belgium,BEL,4.64065114,50.63981576
Benin,BEN,2.32785254,9.6417597
Burkina Faso,BFA,-1.75456601,12.26953846
Bangladesh,BGD,90.23812743,23.86731158
Bulgaria,BGR,25.21552909,42.76890318
Bahrain,BHR,50.54196932,26.04205135
Canada,CAN,-98.30777028,61.36206324
The Bahamas,BHS,-76.62843038,24.29036702
Bosnia and Herzegovina,BIH,17.76876733,44.17450125
Saint Barthelemy,BLM,-62.84067779,17.89880451
Belarus,BLR,28.03209307,53.53131377
Belize,BLZ,-88.71010486,17.20027509
Bermuda,BMU,-64.7545589,32.31367802
Bolivia,BOL,-64.68538645,-16.70814787
Brazil,BRA,-53.09783113,-10.78777702
Barbados,BRB,-59.559797,13.18145428
Brunei,BRN,114.7220304,4.51968958
Bhutan,BTN,90.40188155,27.41106589
Botswana,BWA,23.79853368,-22.18403213
Central African Republic,CAF,20.46826831,6.56823297
Switzerland,CHE,8.20867471,46.79785878
Chile,CHL,-71.38256213,-37.73070989
China,CHN,103.8190735,36.56176546
Ivory Coast,CIV,-5.5692157,7.6284262
Cameroon,CMR,12.73964156,5.69109849
Democratic Republic of the Congo,COD,23.64396107,-2.87746289
Republic of Congo,COG,15.21965762,-0.83787463
Cook Islands,COK,-159.7872422,-21.21927288
Colombia,COL,-73.08114582,3.91383431
Comoros,COM,43.68253968,-11.87783444
Cape Verde,CPV,-23.9598882,15.95523324
Costa Rica,CRI,-84.19208768,9.97634464
Cuba,CUB,-79.01605384,21.62289528
Cura_Â§ao,CUW,-68.97119369,12.19551675
Cayman Islands,CYM,-80.91213321,19.42896497
Northern Cyprus,CYN,33.5684813,35.26277486
Cyprus,CYP,33.0060022,34.91667211
Czech Republic,CZE,15.31240163,49.73341233
Germany,DEU,10.38578051,51.10698181
Djibouti,DJI,42.5606754,11.74871806
Dominica,DMA,-61.357726,15.4394702
Denmark,DNK,10.02800992,55.98125296
Dominican Republic,DOM,-70.50568896,18.89433082
Algeria,DZA,2.61732301,28.15893849
Ecuador,ECU,-78.75201922,-1.42381612
Egypt,EGY,29.86190099,26.49593311
Eritrea,ERI,38.84617011,15.36186618
Spain,ESP,-3.64755047,40.24448698
Estonia,EST,25.54248537,58.67192972
Ethiopia,ETH,39.60080098,8.62278679
Finland,FIN,26.2746656,64.49884603
Fiji,FJI,165.4519543,-17.42858032
Falkland Islands,FLK,-59.35238956,-51.74483954
France,FRA,-2.76172945,42.17344011
Faroe Islands,FRO,-6.88095423,62.05385403
Federated States of Micronesia,FSM,153.2394379,7.45246814
Gabon,GAB,11.7886287,-0.58660025
United Kingdom,GBR,-2.86563164,54.12387156
Georgia,GEO,43.50780252,42.16855755
Guernsey,GGY,-2.57239064,49.46809761
Ghana,GHA,-1.21676566,7.95345644
Guinea,GIN,-10.94066612,10.43621593
Gambia,GMB,-15.39601295,13.44965244
Guinea Bissau,GNB,-14.94972445,12.04744948
Equatorial Guinea,GNQ,10.34137924,1.70555135
Greece,GRC,22.95555794,39.07469623
Grenada,GRD,-61.68220189,12.11725044
Greenland,GRL,-41.34191127,74.71051289
Guatemala,GTM,-90.36482009,15.69403664
Guam,GUM,144.7679102,13.44165626
Guyana,GUY,-58.98202459,4.79378034
Hong Kong S.A.R.,HKG,114.1138045,22.39827737
Heard Island and McDonald Islands,HMD,73.5205171,-53.08724656
Honduras,HND,-86.6151661,14.82688165
Croatia,HRV,16.40412899,45.08047631
Haiti,HTI,-72.68527509,18.93502563
Hungary,HUN,19.39559116,47.16277506
Indonesia,IDN,117.2401137,-2.21505456
Isle of Man,IMN,-4.53873952,54.22418911
India,IND,79.6119761,22.88578212
Indian Ocean Territories,IOA,104.851898,-10.6478515
British Indian Ocean Territory,IOT,72.44541229,-7.33059751
Ireland,IRL,-8.13793569,53.1754487
Iran,IRN,54.27407004,32.57503292
Iraq,IRQ,43.74353149,33.03970582
Iceland,ISL,-18.57396167,64.99575386
Israel,ISR,35.00444693,31.46110101
Italy,ITA,12.07001339,42.79662641
Jamaica,JAM,-77.31482593,18.15694878
Jersey,JEY,-2.12689938,49.21837377
Jordan,JOR,36.77136104,31.24579091
Japan,JPN,138.0308956,37.59230135
Siachen Glacier,KAS,77.18011865,35.39236325
Kazakhstan,KAZ,67.29149357,48.15688067
Kenya,KEN,37.79593973,0.59988022
Kyrgyzstan,KGZ,74.54165513,41.46221943
Cambodia,KHM,104.9069433,12.72004786
Kiribati,KIR,-45.61110513,0.86001503
Saint Kitts and Nevis,KNA,-62.68755265,17.2645995
South Korea,KOR,127.8391609,36.38523983
Kosovo,KOS,20.87249811,42.57078707
Kuwait,KWT,47.58700459,29.33431262
Laos,LAO,103.7377241,18.50217433
Lebanon,LBN,35.88016072,33.92306631
Liberia,LBR,-9.32207573,6.45278492
Libya,LBY,18.00866169,27.03094495
Saint Lucia,LCA,-60.96969923,13.89479481
Liechtenstein,LIE,9.53574312,47.13665835
Sri Lanka,LKA,80.70108238,7.61266509
Lesotho,LSO,28.22723131,-29.58003188
Lithuania,LTU,23.88719355,55.32610984
Luxembourg,LUX,6.07182201,49.76725361
Latvia,LVA,24.91235983,56.85085163
Macao S.A.R,MAC,113.5093212,22.22311688
Saint Martin,MAF,-63.05972851,18.08888611
Morocco,MAR,-8.45615795,29.83762955
Monaco,MCO,7.40627677,43.75274627
Moldova,MDA,28.45673372,47.19498804
Madagascar,MDG,46.70473674,-19.37189587
Maldives,MDV,73.45713004,3.7287092
Mexico,MEX,-102.5234517,23.94753724
Marshall Islands,MHL,170.3397612,7.00376358
Macedonia,MKD,21.68211346,41.59530893
Mali,MLI,-3.54269065,17.34581581
Malta,MLT,14.40523316,35.92149632
Myanmar,MMR,96.48843321,21.18566599
Montenegro,MNE,19.23883939,42.78890259
Mongolia,MNG,103.0529977,46.82681544
Northern Mariana Islands,MNP,145.6196965,15.82927563
Mozambique,MOZ,35.53367543,-17.27381643
Mauritania,MRT,-10.34779815,20.25736706
Montserrat,MSR,-62.18518546,16.73941406
Mauritius,MUS,57.57120551,-20.27768704
Malawi,MWI,34.28935599,-13.21808088
Malaysia,MYS,109.6976228,3.78986846
Namibia,NAM,17.20963567,-22.13032568
New Caledonia,NCL,165.6849237,-21.29991806
Niger,NER,9.38545882,17.41912493
Norfolk Island,NFK,167.9492168,-29.0514609
Nigeria,NGA,8.08943895,9.59411452
Nicaragua,NIC,-85.0305297,12.84709429
Niue,NIU,-169.8699468,-19.04945708
Netherlands,NLD,5.28144793,52.1007899
Norway,NOR,15.34834656,68.75015572
Nepal,NPL,83.9158264,28.24891365
Nauru,NRU,166.9325682,-0.51912639
New Zealand,NZL,171.4849235,-41.81113557
Oman,OMN,56.09166155,20.60515333
Pakistan,PAK,69.33957937,29.9497515
Panama,PAN,-80.11915156,8.51750797
Pitcairn Islands,PCN,-128.317042,-24.36500535
Peru,PER,-74.38242685,-9.15280381
Philippines,PHL,122.8839325,11.77536778
Palau,PLW,134.4080797,7.28742784
Papua New Guinea,PNG,145.2074475,-6.46416646
Poland,POL,19.39012835,52.12759564
Puerto Rico,PRI,-66.47307604,18.22813055
North Korea,PRK,127.1924797,40.15350311
Portugal,PRT,-8.50104361,39.59550671
Paraguay,PRY,-58.40013703,-23.22823913
Palestine,PSX,35.19628705,31.91613893
French Polynesia,PYF,-144.9049439,-14.72227409
Qatar,QAT,51.18479632,25.30601188
Romania,ROU,24.97293039,45.85243127
Russia,RUS,96.68656112,61.98052209
Rwanda,RWA,29.91988515,-1.99033832
Western Sahara,SAH,-12.21982755,24.22956739
Saudi Arabia,SAU,44.53686271,24.12245841
Sudan,SDN,29.94046812,15.99035669
South Sudan,SDS,30.24790002,7.30877945
Senegal,SEN,-14.4734924,14.36624173
Singapore,SGP,103.8172559,1.35876087
South Georgia and South Sandwich Islands,SGS,-36.43318388,-54.46488248
Saint Helena,SHN,-9.54779416,-12.40355951
Solomon Islands,SLB,159.6328767,-8.92178022
Sierra Leone,SLE,-11.79271247,8.56329593
El Salvador,SLV,-88.87164469,13.73943744
San Marino,SMR,12.45922334,43.94186747
Somaliland,SOL,46.25198395,9.73345496
Somalia,SOM,45.70714487,4.75062876
Saint Pierre and Miquelon,SPM,-56.30319779,46.91918789
Republic of Serbia,SRB,20.78958334,44.2215032
Sao Tome and Principe,STP,6.72429658,0.44391445
Suriname,SUR,-55.9123457,4.13055413
Slovakia,SVK,19.47905218,48.70547528
Slovenia,SVN,14.80444238,46.11554772
Sweden,SWE,16.74558049,62.77966519
Swaziland,SWZ,31.4819369,-26.55843045
Sint Maarten,SXM,-63.05713363,18.05081728
Seychelles,SYC,55.47603279,-4.66099094
Syria,SYR,38.50788204,35.02547389
Turks and Caicos Islands,TCA,-71.97387881,21.83047572
Chad,TCD,18.64492513,15.33333758
Togo,TGO,0.96232845,8.52531356
Thailand,THA,101.0028813,15.11815794
Tajikistan,TJK,71.01362631,38.5304539
Turkmenistan,TKM,59.37100021,39.11554137
East Timor,TLS,125.8443898,-8.82889162
Tonga,TON,-174.8098734,-20.42843174
Trinidad and Tobago,TTO,-61.26567923,10.45733408
Tunisia,TUN,9.55288359,34.11956246
Turkey,TUR,35.16895346,39.0616029
Taiwan,TWN,120.9542728,23.7539928
United Republic of Tanzania,TZA,34.81309981,-6.27565408
Uganda,UGA,32.36907971,1.27469299
Ukraine,UKR,31.38326469,48.99656673
Uruguay,URY,-56.01807053,-32.79951534
United States of America,USA,-112.4616737,45.6795472
Uzbekistan,UZB,63.14001528,41.75554225
Vatican,VAT,12.43387177,41.90174985
Saint Vincent and the Grenadines,VCT,-61.20129695,13.22472269
Venezuela,VEN,-66.18184123,7.12422421
British Virgin Islands,VGB,-64.47146992,18.52585755
United States Virgin Islands,VIR,-64.80301538,17.95500624
Vietnam,VNM,106.299147,16.6460167
Vanuatu,VUT,167.6864464,-16.22640909
Wallis and Futuna,WLF,-177.3483483,-13.88737039
Samoa,WSM,-172.1648506,-13.75324346
Yemen,YEM,47.58676189,15.90928005
South Africa,ZAF,25.08390093,-29.00034095
Zambia,ZMB,27.77475946,-13.45824152
Zimbabwe,ZWE,29.8514412,-19.00420419